delta,delta_conf,S1,S1_conf,names,var,lake,model
0.06636582333584214,0.01225827261807498,0.017101702352516207,0.013991463474441607,turb_param.k_min,nse,Allequash,GOTM
0.04631180231555458,0.010178755159950387,0.008471523073646554,0.010662619264678076,Kw,nse,Allequash,GOTM
0.031252056526052875,0.01169725680787183,0.0054140439141008075,0.007376969254992914,bottom.h0b,nse,Allequash,GOTM
0.028599534989301567,0.01043896633016923,0.0030005862779561854,0.006622839702920931,turb_param.const_num,nse,Allequash,GOTM
0.4058998341189149,0.014767519924408902,0.6599332659486303,0.018468103879432894,swr,bias,Allequash,GOTM
0.1906693503954266,0.013082678393080605,0.2888626232000368,0.03315989804512372,wind_speed,bias,Allequash,GOTM
0.04271281245396465,0.012478669062826351,0.009713314105373171,0.009258055390252004,turb_param.k_min,bias,Allequash,GOTM
0.0374926452300163,0.01125375080070951,0.008785007923758803,0.010355410021118254,Kw,bias,Allequash,GOTM
0.03535439877566438,0.011787018950103543,0.0065232722864939485,0.008679243370691758,bottom.h0b,bias,Allequash,GOTM
0.027686683182936433,0.010624436275752113,0.0034727045775611053,0.006411944772731024,turb_param.const_num,bias,Allequash,GOTM
0.3740257928405314,0.016293818712108006,0.6538531700931429,0.02222833845838234,swr,mae,Allequash,GOTM
0.1983430117752204,0.013650609144623646,0.29199967397921284,0.030495022628144568,wind_speed,mae,Allequash,GOTM
0.039470988616269714,0.010988143489890457,0.013163225922013097,0.010186851819339362,turb_param.k_min,mae,Allequash,GOTM
0.03583023700509687,0.011916939785882494,0.008746450398816283,0.008718635984806334,Kw,mae,Allequash,GOTM
0.03381790083335928,0.01006594973202542,0.0059109143983065195,0.00782710505245636,bottom.h0b,mae,Allequash,GOTM
0.023119047345727787,0.01016208783442315,0.0030013990451570375,0.006484875660864115,turb_param.const_num,mae,Allequash,GOTM
0.38568615668147055,0.01491592952799236,0.6641551652463282,0.02803702120328458,swr,rmse,Allequash,Simstrat
0.1580772101026839,0.013900090010260768,0.10228593927699638,0.018779477776311865,wind_speed,rmse,Allequash,Simstrat
0.09518303924976813,0.00926492789575638,0.040142982572406595,0.015194446384511843,Kw,rmse,Allequash,Simstrat
0.06590832743681331,0.008141964716126897,0.008522269213321804,0.009861256325214836,hgeo,rmse,Allequash,Simstrat
0.06371794024784216,0.00858858533734,0.013725270664633143,0.011369015769098939,cd,rmse,Allequash,Simstrat
0.06204876147730978,0.009642826466750956,0.01539427976573164,0.01020367114195413,a_seiche,rmse,Allequash,Simstrat
0.26209176335835627,0.016216814839195622,0.3449604529165504,0.029991080760331384,swr,r,Allequash,Simstrat
0.2488984112096951,0.016519366474396186,0.37473027407231235,0.041824769121228,wind_speed,r,Allequash,Simstrat
0.16795710001813205,0.014789344042766543,0.04630624961896396,0.01844086659474357,Kw,r,Allequash,Simstrat
0.06137850829593538,0.011588699461546469,0.009043608295698126,0.01045999223964767,a_seiche,r,Allequash,Simstrat
0.05394213818518854,0.011774257705742438,0.007539028499990913,0.011259618445969498,cd,r,Allequash,Simstrat
0.04143100174146373,0.009324426672452129,0.005056684725107502,0.008576236519995853,hgeo,r,Allequash,Simstrat
0.3880554815022345,0.01628713586489516,0.6548484662915082,0.023791012020742828,swr,nse,Allequash,Simstrat
0.15925430764240003,0.014402746923671229,0.09860588938615131,0.019544033129532668,wind_speed,nse,Allequash,Simstrat
0.0991216065054465,0.00936201834998331,0.03989587428081042,0.015449390494313021,Kw,nse,Allequash,Simstrat
0.07256835561357819,0.00918396660570263,0.013213201285166166,0.010358344117264861,cd,nse,Allequash,Simstrat
0.07176153030606823,0.008288779691452038,0.00807279782369673,0.00920498291024484,hgeo,nse,Allequash,Simstrat
0.07107320791822183,0.0080559280587855,0.014762298538543862,0.01189528866075158,a_seiche,nse,Allequash,Simstrat
0.6136532368579587,0.011862026707013905,0.8879062686245431,0.007549482017343155,swr,bias,Allequash,Simstrat
0.09085237161622547,0.011737181725039826,0.057252459123153784,0.019669149465242328,wind_speed,bias,Allequash,Simstrat
0.05344000504146058,0.012058294063495043,0.02145123635102592,0.01330977382787681,Kw,bias,Allequash,Simstrat
0.04138148421532401,0.012997123859686795,0.005152274126400635,0.008100389040419197,cd,bias,Allequash,Simstrat
0.030370840699962036,0.01039775425325325,0.005550863312530943,0.007943951941025026,hgeo,bias,Allequash,Simstrat
0.028761963271401524,0.011544194758218475,0.007715473752088705,0.00943460740784154,a_seiche,bias,Allequash,Simstrat
0.3613379837876626,0.015733948566376284,0.5734109727717884,0.03486977927223919,swr,mae,Allequash,Simstrat
0.19233689586660838,0.012551187099539082,0.24874360559176695,0.025722777320985837,wind_speed,mae,Allequash,Simstrat
0.07107307873083886,0.012761014401667084,0.01648326577985103,0.01063685072948263,Kw,mae,Allequash,Simstrat
0.053295965298294314,0.011256356759200451,0.009691734037940786,0.009278545513245844,hgeo,mae,Allequash,Simstrat
0.042209301966124005,0.009918253782504311,0.010049595273196807,0.010630128114948742,cd,mae,Allequash,Simstrat
0.03878803255718063,0.009571106343911052,0.007421350536230661,0.01021642844226168,a_seiche,mae,Allequash,Simstrat
0.28421948208526726,0.014096865982318778,0.4432000759420697,0.041294571017309024,swr,rmse,Alqueva,FLake
0.18475682816975147,0.013540916309587897,0.19228021028529377,0.03056744155157135,wind_speed,rmse,Alqueva,FLake
0.06398952700734531,0.00737653554267057,0.005135871473267481,0.00694136599324269,Kw,rmse,Alqueva,FLake
0.06062075867921066,0.009004437537944741,0.004114704468867357,0.007566084132086748,depth_bs_lk,rmse,Alqueva,FLake
0.058753940125312785,0.008815727293711625,0.004390881116418213,0.007481721225877183,fetch_lk,rmse,Alqueva,FLake
0.05277253547806748,0.007994250882593992,0.002083867847728013,0.005907455945361766,c_relax_C,rmse,Alqueva,FLake
0.1512656007790476,0.014221175986798213,0.15377587374370155,0.028927266701386147,c_relax_C,r,Alqueva,FLake
0.12884288789335283,0.013719378779499134,0.057815162779462144,0.023153814269098152,Kw,r,Alqueva,FLake
0.1268376986827139,0.014966067152863995,0.1190241022669274,0.03004113412102754,swr,r,Alqueva,FLake
0.12681092183636397,0.014236418332738563,0.10283172769406906,0.02280422409380803,wind_speed,r,Alqueva,FLake
0.04331620631144594,0.011769890865121422,0.018559039092713076,0.01468418846294515,depth_bs_lk,r,Alqueva,FLake
